State,People
Alabama,4
Arizona,818
Arkansas,161
California,43775
Colorado,6108
Connecticut,186
Delaware,7
District of Columbia,318
Florida,37
Georgia,10
Idaho,3932
Illinois,12776
Indiana,254
Iowa,641
Kansas,103
Kentucky,22
Louisiana,100
Maine,7
Maryland,123
Massachusetts,203
Michigan,3047
Minnesota,2046
Mississippi,52
Missouri,1108
Montana,780
Nebraska,919
Nevada,305
New Hampshire,9
New Jersey,2240
New Mexico,185
New York,2651
North Carolina,8
North Dakota,20
Ohio,4422
Oklahoma,121
Oregon,2612
Pennsylvania,1008
Rhode Island,7
South Carolina,0
South Dakota,50
Tennessee,29
Texas,274
Utah,5641
Vermont,6
Virginia,22
Washington,5323
West Virginia,1
Wisconsin,769
Wyoming,368
Hawaii,912
Alaska,49